"No.","Time","Source","Destination","Protocol","Length","Info"
"1343","109.347722","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=31704 Ack=22169 Win=65535 Len=0"
"1346","109.445890","149.154.167.99","10.0.2.15","TLSv1.2","473","Application Data"
"1347","109.465038","10.0.2.15","149.154.167.99","TLSv1.2","557","Application Data"
"1348","109.465465","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=32123 Ack=22672 Win=65535 Len=0"
"1349","109.564733","149.154.167.99","10.0.2.15","TLSv1.2","233","Application Data"
"1350","109.611332","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=22672 Ack=32302 Win=65535 Len=0"
"1351","109.754635","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1352","109.754929","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=32302 Ack=22871 Win=65535 Len=0"
"1353","109.960816","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1354","109.960870","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=22871 Ack=32447 Win=65535 Len=0"
"1357","110.103480","149.154.167.99","10.0.2.15","TLSv1.2","409","Application Data"
"1358","110.103519","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=22871 Ack=32802 Win=65535 Len=0"
"1366","110.882533","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1367","110.882907","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=32802 Ack=23070 Win=65535 Len=0"
"1368","110.989360","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1369","110.989389","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=23070 Ack=32915 Win=65535 Len=0"
"1370","110.992847","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1371","110.993038","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=32915 Ack=23269 Win=65535 Len=0"
"1374","111.095452","149.154.167.99","10.0.2.15","TLSv1.2","790","Application Data"
"1376","111.139358","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=23269 Ack=33651 Win=65535 Len=0"
"1378","111.187563","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"1379","111.187748","10.0.2.15","149.154.167.99","TLSv1.2","171","Application Data"
"1380","111.187877","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=33651 Ack=23452 Win=65535 Len=0"
"1381","111.188023","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=33651 Ack=23569 Win=65535 Len=0"
"1382","111.296452","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1383","111.296503","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=23569 Ack=33764 Win=65535 Len=0"
"1384","111.394014","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1385","111.394409","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=33764 Ack=23768 Win=65535 Len=0"
"1389","111.500602","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1390","111.500649","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=23768 Ack=33909 Win=65535 Len=0"
"1391","111.925049","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1392","111.925330","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=33909 Ack=23967 Win=65535 Len=0"
"1393","112.208511","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1394","112.208554","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=23967 Ack=34022 Win=65535 Len=0"
"1395","112.211825","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1396","112.212110","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=34022 Ack=24166 Win=65535 Len=0"
"1399","112.324782","149.154.167.99","10.0.2.15","TLSv1.2","457","Application Data"
"1400","112.367374","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=24166 Ack=34425 Win=65535 Len=0"
"1401","112.424646","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1402","112.424960","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=34425 Ack=24365 Win=65535 Len=0"
"1405","112.524290","149.154.167.99","10.0.2.15","TLSv1.2","409","Application Data"
"1406","112.524326","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=24365 Ack=34780 Win=65535 Len=0"
"1407","112.550683","149.154.167.99","10.0.2.15","TLSv1.2","199","Application Data"
"1408","112.550728","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=24365 Ack=34925 Win=65535 Len=0"
"1412","113.304941","10.0.2.15","149.154.167.99","TLSv1.2","253","Application Data"
"1413","113.305357","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=34925 Ack=24564 Win=65535 Len=0"
"1416","113.403075","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"1417","113.403101","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=24564 Ack=35038 Win=65535 Len=0"
